INVOICE_NO,ITEM_ID
316076013,12619592
D616070487,14512051
W016070952,"134731,134857,134906,135122,135177,135251,135493,135494,135503,135505,135547,135563,135883,136211,13997589,14160592,1696,1697,1699,1707,1750,1755,183078,1931785,2072854,2206760,3205732,3217384,3249411,3249491,3309031,3310681,3312684,3326167,3328646,3328649,3334237,3334252,3335070,3335077,3335897,3403907,70128,70298,70448,70509,87118,8712587,87949,87951,88411,88447,88475,88477,88518,88622,88623,88675"
P516070103,15280990
W016070532,"11569587,1301771"
3416070166,15288972
316079626,"14407729,15208035"
316070100,"13834590,143148"
CX48010524,2897070
6891601011,"14866104,15648014"
6811600237,"14869912,15288975"
1616070109/79213716,14866031
W016073955,5139587
CX48010651,3176404
6G01600140,14782215
W016073109,"134954,135384,135499,3249374,3249375,3249476,3328620"
W016071096,14968980
316077269,3332806
2316071253,3335757
6G01600122,"15166002,15192057,15461982"
6891600999,15278977
216074917,"12129587,14149589,14564167,14564195,14677900,14728213,14766011,14844865,3325324,3326430,3330680,3403229,3423229,4536587,4754587,4755587"
216072476,88477
O516070032,1985
W016075067,"134769,134856,135124,135161,135262,135436,135469,135470,135492,135493,135510,136204,1433804,183048,2902131,3308868,3336149,620412,70128,70509,7068592,87950,87951,881629,88411,88443,88446,88475,88623,88676,9544596"
2316071850,14301735
6871600823,"15306063,15307088,15323074,15334102,15352010,15406993,15419008,15542992"
CX48012032,15046027
CX47348416,149337
216071904,15116972
316078465,145115
O516070644,14992857
216076899,135520
316077462,14713798
2316071069,3244771
316075382,"14723181,14915893,3215542,3779588"
CX47347758,13250654
316071413,"128929,3166089"
216076604,14768938
W016074208,15033863
316070602,3783025
CX47348363,3296784
1616071648/88764190,15455982
316079078,"143630,143641"
W016073498,136193
O516070639,15575964
5416070181,15288975
316074832,141774
W016070395,3430758
2316072018,3772202
2316071470,15005903
616070653,"1000,1005,1010,1034,12846587,1409,14330748,15002275,15497984,225680,225681,3190468,3200240,3326577,3327254,3328242,3381760,3390905,739,995631"
6861600350,15306063
6891600909,14735852
216074867,"111064,136470,137792,138325,138455,140813,141764,14537792,149991,3338350,3372437,3415366,3689593,5644588"
W016073050,3312686
W016071653,3397556
316071360,9926587
306071706,3369879
CX47346202,4264841
W016072629,14952886
CX47347743,14566098
CX47346370,"14816961,3307913,3341285,3396753,6358587,8929651"
CX47347152,14598784
CX47346240,"149674,88063"
316076000,"2020785,3208133,3313516"
W016070354,151016
216076920,88445
6841600879,"15278980,15345116"
316070987,"100,134741"
316075388,151079
W016071659,3434915
O516070613,125977
O516070822,126824
316073011,14841318
CX47346787,14750891
W016074575,117594
CX47345963,135344
316072660,3420397
216072183,1707
316072891,"140881,143148"
316076416,"3807428,8929650"
O516070831,3393054
316071374,15194972
W016078372,14926862
216074335,15017113
CX47346351,6358587
216077874,"136281,3216409,3224739,3250111,4709595,70449,70450,8411587,9190587"
1916070053,"14731057,14909891"
216077337,3431083
216071390,3402174
W016073914,4809587
W016071899,3216846
A716070234/17830782,3397274
316070047,143573
2316070925,"1152734,126570,129417,129783,130212,130439,130521,130579,132640,13687589,2168796,230957,3368047,70062,70066,70415"
W016070813,135589
W016070449,230964
2316070421,"141764,3806827"
2316070640,3187192
306071286,14462723
216074013,87945
CX47345686,14566711
316072194,6064587
316070489,3382806
316077970,"142992,14369742,3325191"
W016077951,4257621
CX47347350,1707
216070928,14774894
216072016,"100,1754,3249192,3249789,70448,70509"
2316071390,3304326
316076769,"15189017,15220039"
P516070075,14782210
A716070248/17830834,"10857587,12560587,3322137,3367697"
CX47348468,3321335
316072953,129976
CX47348063,1695
216074453,133563
306072006,15071180
306071117,14972986
2316072099,"14645738,14856926,15604992,1665826,2205050,3400835,966631"
6B01600330,"15105973,15278980"
6E01600460,"14790248,14988891"
CX48011966,3337359
CX47345432,14361751
316071236,15253094
CX47346739,127291
216077293,3338184
216075466,15202045
W016078462,3204325
A716070287/10930467,15192059
316077209,12560591
A716070238/17661830,3191398
306071982,3387711
CX47345812,4231589
2316071301,"1575786,2795091,3097085,3188588,3242275,3307287,3324908,3368726,760484,8032587"
6831600783,15401986
616070965,"1221,1225,1236,1237,1245,41002"
W016079031,"14699024,2965068"
W016073499,70977
316072988,"12033587,143207,2664022,3412218"
216075983,14564373
D616070296,"2207996,2208001,2208002,3390096"
CX47346855,15388082
316075277,"14834920,14993228,15028877"
316073809,"15016233,2481016,2555016,3223040,757485"
W016078531,15348989
W016075514,"3218378,3302908"
216073537,"134866,135051,136029,14883083,1697,1755,1756,3344437,70447,70509,881629"
3416070137,"15288975,15288976"
W016077866,"139159,2252010,3420396"
6A01600490,14790248
316071671,3424475
216073846,"14208661,14334744,14799881,14828110,14849948,15002738,15002779,15002795,15002797,15002798,15002800,15002801,15002802,15002816,15002821,15002823,15016129,15022254,15140309,15192096,15311970,15358017,15574974,3247897,71196,71212,71267,72223"
216077604,88444
CX47348581,"15221014,15268974,15270069,15284037,8186587"
316078357,14183597
316075770,15083918
CX47348717,15426964
CX48010664,3228655
CX47346857,4231589
6F01600227,"15419008,15423965"
B516070570,"122571,126724,1696,83008"
216077307,"135159,3334116,3336149,88443"
O516070013,2886079
O516070820,725475
O516070080,2886079
W016076782,15159067
CX48010261,3298507
CX47348043,3433048
216075956,3416561
316079337,938
1616070166,15471068
2316070429,4169605
CX47346267,9941593
1616070876/88761422,15201033
216072548,4536587
W016070522,3391473
O516070437,3201471
616070527,3374580
CX48010586,15017116
W016075649,"133449,3296739,3338027,757485"
316079388,"134628,14703651,14784039,172052,2208853"
316076224,"14710614,3780612,3806700"
216073332,"2872079,2879068,3340217,9634587"
K516070075,15317984
CX47348652,"140626,149781,2117825,2400013"
O516070713,14533729
316071292,15071058
216076036,15290974
P516070057,15189014
D616070128,"15332023,3306455"
W016073677,2208849
CX47347572,15085069
W016075945,3185258
O516070418,2207341
CX47346131,133617
6B01600356,15549964
316074772,"15242414,15247009"
306070296,9046593
W016071082,130138
W016071405,149068
CX47348301,3368987
O516070532,1312779
216078095,3403229
W016077945,2494023
W016075939,14838967
W016075863,"3084118,3201484,3220433,3224340,3365004"
W016068156,3306717
316070760,14888871
6F01600260,15461984
216074064,"14677900,14800944,3306666,3333283,3370189,3383008,3417470"
O516070407,3300607
W016077467,2208944
316071499,15615002
216071150,88224
K516070001,15383972
306071405,"3321335,794601"
W016070022,"138842,3418641,3433043"
W016075205,3395737
W016075342,15064984
216073114,"11425587,3216651,3223014,3395225"
6E01600492,14962884
316079915,"14797166,14967196,14968945,15179053"
CX47347702,14564153
W016077293,"3869399,4190588"
1616070484,15570050
216078064,"14208682,3365652"
CX47345201,3277873
CX47346955,14269717
W016071973,"2208230,3307223"
O516070632,14942025
W016070038,139010
O516070248,3302929
6831600843,15002147
6831600744,15494032
K516070135,15189014
316072195,"14988933,15032000"
216072402,"134857,3159070,3196207,3217075,3298637,3336149,88449,88518,88563,88624,88677"
216073407,149950
316076353,15373071
W016070712,10569587
2316070144,"3379507,3380262"
6B01600310,14790248
316075133,"14835955,3321335"
A716070495/17830515,14562745
W016072530,3250518
W016076577,564382
CX48011911,14500802
1916070128,15157064
D616070354,"2205817,2207942,3392583"
216076723,3338184
306070205,3166116
306072112,"135126,9862587"
316073766,"13491589,14208703,14337734,14791911,14827176,14856039,14856101,3390092"
216072620,228559
216074036,70436
306070664,14762160
216075054,14952215
316074699,14565299
W016073010,141227
6831600876,15336110
316077456,11606595
316077604,15298977
B516070149/01838860,2205447
316074583,"11500587,14930066"
CX47345943,5422593
6891600972,14845991
K516070230,15058972
316071323,14698916
W016073687,"128927,2649022"
W016075328,3656589
A716070602,"137501,150105,150580,3340169,88224"
CX47347095,3345208
316079964,3390278
2316071637,"138565,142588,143162,14810143,148530,148735,149862,151041,151079,3216616,3241850,3242347,3250472,3335676,3396494,3423486,3428906,3704639,3749935,3806746,3868652,6212596"
2316070667,14407726
2316071716,135739
6A01600532,15306063
216077139,"14617725,15006123,15093959"
306071031,14988996
216072666,"133449,133775"
