216074178,"134,915,891,420,867,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1616071630/88764174,14921004
6891600864,"1,533,600,415,336,080"
6811600250,"1,534,497,715,367,960"
216075874,70066
216070259,"1,334,051,475,885,910,000,000"
5416070117,14782210
W016078601,3218378
W016076861,87234
W016072159,744486
316070405,3344569
2316071926,14908620
3416070421,"1,478,221,015,189,010,000,000,000,000,000,000,000,000"
316072726,15214958
306070055,138747
2316070361,5372590
6811600263,"147,822,151,479,024,000,000,000"
D616070344,15006241
CX47345318,"13,581,714,704,441"
CX47347278,"1,486,533,415,366"
D616070460,"145,118,591,451,186,000,000,000,000,000,000,000,000"
3416070149,15051992
216076328,15017114
CX48010702,14790748
316070767,15201975
1616070172,15331041
2316070949,14675146
616070436,"148,320,091,483,201,000,000,000"
316071082,"126,173,174,672,018"
216072278,131438
316076787,3749956
W016072771,133546
5416070244,15288975
306070715,2899106
316078356,3424816
W016076655,3396381
W016071162,14992967
6881600378,15569978
W016075053,3245258
216070302,7548593
2316072076,3381069
W016077973,6568588
W016077907,70509
316077202,"1,501,483,307,930"
W016075079,"143,867,553,196,276"
316073171,3312312
CX47348333,14793029
2316071053,132548
CX47345530,3328943
CX47347522,"1,241,651,699,320,660,000,000"
6A01600496,"1,528,099,015,288,970"
216073372,10452587
216077873,"121,565,871,257,631,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
B516070033/01838488,3328242
W016073680,3332056
O516070454,1708
W016073603,3335231
CX47346008,"1,377,433,771,638"
216073061,7080602
306071034,"153,449,771,536,796,000,000,000"
216075975,"1,473,587,132,077,070,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
316074441,15140999
316071529,3237512
CX47345411,"32,175,323,318,418"
316075236,14711022
W016073427,"1,460,875,614,729,920,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
W016073860,15140151
216077424,"143,005,143,752,143,000,000,000,000,000,000,000,000,000,000"
316071538,"10727972,125741,126340,1307777,135384,1449786,14704354,2466066,2899072,481381,6499625,70415,70509,70589,885650,91"
